Seconds;mV
0.000;0.155
0.004;0.190
0.008;0.200
0.012;0.180
0.016;0.180
0.020;0.200
0.024;0.205
0.028;0.190
0.032;0.185
0.036;0.195
0.040;0.175
0.044;0.190
0.048;0.175
0.052;0.175
0.056;0.160
0.060;0.185
0.064;0.200
0.068;0.190
0.072;0.195
0.076;0.190
0.080;0.190
0.084;0.180
0.088;0.160
0.092;0.190
0.096;0.195
0.100;0.200
0.104;0.215
0.108;0.210
0.112;0.205
0.116;0.155
0.120;0.135
0.124;0.120
0.128;0.205
0.132;0.375
0.136;0.585
0.140;0.830
0.144;1.055
0.148;1.235
0.152;1.360
0.156;1.460
0.160;1.540
0.164;1.545
0.168;1.520
0.172;1.450
0.176;1.355
0.180;1.230
0.184;1.145
0.188;1.050
0.192;0.940
0.196;0.860
0.200;0.765
0.204;0.680
0.208;0.605
0.212;0.535
0.216;0.475
0.220;0.440
0.224;0.455
0.228;0.430
0.232;0.395
0.236;0.320
0.240;0.265
0.244;0.230
0.248;0.190
0.252;0.170
0.256;0.155
0.260;0.145
0.264;0.120
0.268;0.090
0.272;0.050
0.276;0.050
0.280;0.015
0.284;0.040
0.288;0.030
0.292;0.025
0.296;0.030
0.300;0.010
0.304;-0.010
0.308;0.005
0.312;0.000
0.316;0.000
0.320;-0.010
0.324;-0.030
0.328;-0.030
0.332;-0.025
0.336;-0.020
0.340;-0.015
0.344;-0.040
0.348;-0.050
0.352;-0.020
0.356;-0.050
0.360;-0.040
0.364;-0.025
0.368;-0.040
0.372;-0.030
0.376;-0.045
0.380;-0.050
0.384;-0.035
0.388;-0.055
0.392;-0.045
0.396;-0.025
0.400;-0.020
0.404;-0.010
0.408;0.010
0.412;0.020
0.416;0.025
0.420;0.035
0.424;0.060
0.428;0.075
0.432;0.110
0.436;0.080
0.440;0.115
0.444;0.110
0.448;0.110
0.452;0.140
0.456;0.160
0.460;0.170
0.464;0.190
0.468;0.180
0.472;0.175
0.476;0.195
0.480;0.205
0.484;0.205
0.488;0.210
0.492;0.195
0.496;0.185
0.500;0.205
0.504;0.210
0.508;0.200
0.512;0.175
0.516;0.190
0.520;0.195
0.524;0.205
0.528;0.180
0.532;0.150
0.536;0.160
0.540;0.155
0.544;0.175
0.548;0.160
0.552;0.170
0.556;0.185
0.560;0.180
0.564;0.175
0.568;0.180
0.572;0.175
0.576;0.160
0.580;0.170
0.584;0.185
0.588;0.195
0.592;0.195
0.596;0.210
0.600;0.215
0.604;0.175
0.608;0.205
0.612;0.195
0.616;0.210
0.620;0.185
0.624;0.185
0.628;0.170
0.632;0.205
0.636;0.160
0.640;0.185
0.644;0.195
0.648;0.190
0.652;0.215
0.656;0.200
0.660;0.170
0.664;0.165
0.668;0.190
0.672;0.185
0.676;0.170
0.680;0.195
0.684;0.190
0.688;0.190
0.692;0.230
0.696;0.210
0.700;0.165
0.704;0.135
0.708;0.130
0.712;0.210
0.716;0.380
0.720;0.605
0.724;0.880
0.728;1.130
0.732;1.325
0.736;1.475
0.740;1.565
0.744;1.610
0.748;1.600
0.752;1.510
0.756;1.425
0.760;1.320
0.764;1.235
0.768;1.130
0.772;1.035
0.776;0.950
0.780;0.840
0.784;0.725
0.788;0.670
0.792;0.595
0.796;0.540
0.800;0.500
0.804;0.450
0.808;0.415
0.812;0.350
0.816;0.305
0.820;0.270
0.824;0.210
0.828;0.185
0.832;0.130
0.836;0.120
0.840;0.070
0.844;0.065
0.848;0.030
0.852;0.005
0.856;-0.005
0.860;-0.025
0.864;-0.030
0.868;-0.035
0.872;-0.040
0.876;-0.070
0.880;-0.040
0.884;-0.060
0.888;-0.075
0.892;-0.075
0.896;-0.090
0.900;-0.080
0.904;-0.105
0.908;-0.115
0.912;-0.105
0.916;-0.145
0.920;-0.140
0.924;-0.155
0.928;-0.150
0.932;-0.145
0.936;-0.140
0.940;-0.140
0.944;-0.125
0.948;-0.125
0.952;-0.145
0.956;-0.130
0.960;-0.135
0.964;-0.140
0.968;-0.130
0.972;-0.120
0.976;-0.125
0.980;-0.095
0.984;-0.090
0.988;-0.090
0.992;-0.055
0.996;-0.025
1.000;-0.010
1.004;-0.005
1.008;0.000
1.012;0.025
1.016;0.055
1.020;0.065
1.024;0.080
1.028;0.070
1.032;0.105
1.036;0.115
1.040;0.130
1.044;0.150
1.048;0.145
1.052;0.135
1.056;0.125
1.060;0.135
1.064;0.165
1.068;0.200
1.072;0.205
1.076;0.160
1.080;0.190
1.084;0.150
1.088;0.170
1.092;0.175
1.096;0.170
1.100;0.150
1.104;0.160
1.108;0.155
1.112;0.155
1.116;0.165
1.120;0.160
1.124;0.130
1.128;0.120
1.132;0.135
1.136;0.150
1.140;0.140
1.144;0.145
1.148;0.165
1.152;0.165
1.156;0.160
1.160;0.165
1.164;0.180
1.168;0.170
1.172;0.175
1.176;0.205
1.180;0.190
1.184;0.195
1.188;0.210
1.192;0.200
1.196;0.175
1.200;0.160
1.204;0.150
1.208;0.180
1.212;0.180
1.216;0.185
1.220;0.185
1.224;0.165
1.228;0.175
1.232;0.170
1.236;0.185
1.240;0.185
1.244;0.185
1.248;0.200
1.252;0.200
1.256;0.200
1.260;0.200
1.264;0.200
1.268;0.200
1.272;0.190
1.276;0.180
1.280;0.150
1.284;0.180
1.288;0.320
1.292;0.525
1.296;0.770
1.300;1.045
1.304;1.275
1.308;1.440
1.312;1.560
1.316;1.670
1.320;1.685
1.324;1.640
1.328;1.575
1.332;1.475
1.336;1.360
1.340;1.250
1.344;1.180
1.348;1.060
1.352;0.925
1.356;0.835
1.360;0.750
1.364;0.680
1.368;0.630
1.372;0.550
